PID,block,stime,etime,dur,axp,ayp,aps,eye,TRUE,trial_num,ML_on,latency,TMS_area,session,wing_type,stim_loc,shft_len
1,1,7590391,7590728,338,1167.3,570.5,1894,R,0,1,7589864,527,FEF,POST,Flat,Right,1.5
1,1,7590767,7591045,279,964.5,577.1,2005,R,0,1,7589864,903,FEF,POST,Flat,Right,1.5
1,1,7591065,7591215,151,941.6,534.2,2060,R,0,1,7589864,1201,FEF,POST,Flat,Right,1.5
1,1,7592889,7593347,459,1093,571.3,2106,R,0,2,7592170,719,FEF,POST,Inward,Right,1.5
1,1,7593386,7593565,180,895.5,574.6,2175,R,0,2,7592170,1216,FEF,POST,Inward,Right,1.5
1,1,7594810,7595264,455,1195.2,541.6,2160,R,0,3,7594479,331,FEF,POST,Outward,Right,2.5
1,1,7595331,7595478,148,852.2,540.4,2205,R,0,3,7594479,852,FEF,POST,Outward,Right,2.5
1,1,7597080,7597600,521,711.7,525.2,2297,R,0,4,7596787,293,FEF,POST,Inward,Left,1.5
1,1,7597626,7597996,371,887.4,529.6,2319,R,0,4,7596787,839,FEF,POST,Inward,Left,1.5
1,1,7598013,7598109,97,939.1,540.1,2322,R,0,4,7596787,1226,FEF,POST,Inward,Left,1.5
1,1,7599487,7599970,484,1094,545.9,2271,R,0,5,7599097,390,FEF,POST,Outward,Right,1.5
1,1,7601712,7602304,593,764.6,541.1,2381,R,0,6,7601403,309,FEF,POST,Flat,Left,1.5
1,1,7602330,7602777,448,940.7,547.2,2431,R,0,6,7601403,927,FEF,POST,Flat,Left,1.5
1,1,7604030,7604633,604,1079.4,536.4,2449,R,0,7,7603712,318,FEF,POST,Flat,Right,1.5
1,1,7604661,7605002,342,908.4,542.7,2570,R,0,7,7603712,949,FEF,POST,Flat,Right,1.5
1,1,7605011,7605365,355,925.5,528.3,2596,R,0,7,7603712,1299,FEF,POST,Flat,Right,1.5
1,1,7606379,7607031,653,1071.2,534.1,2555,R,0,8,7606019,360,FEF,POST,Flat,Right,1.5
1,1,7607069,7607276,208,918.3,529.1,2671,R,0,8,7606019,1050,FEF,POST,Flat,Right,1.5
1,1,7607296,7607764,469,931.5,536.4,2670,R,0,8,7606019,1277,FEF,POST,Flat,Right,1.5
1,1,7608644,7609243,600,554.7,446.5,2684,R,0,9,7608328,316,FEF,POST,Outward,Left,2.5
1,1,7609301,7609588,288,973.6,542.8,2697,R,0,9,7608328,973,FEF,POST,Outward,Left,2.5
1,1,7611051,7611560,510,1321.4,443.3,2694,R,0,10,7610636,415,FEF,POST,Outward,Right,2.5
1,1,7611623,7611836,214,908.9,496.2,2832,R,0,10,7610636,987,FEF,POST,Outward,Right,2.5
1,1,7611860,7611896,37,957.6,482.8,2830,R,0,10,7610636,1224,FEF,POST,Outward,Right,2.5
1,1,7611916,7612180,265,925.2,488.6,2842,R,0,10,7610636,1280,FEF,POST,Outward,Right,2.5
1,1,7613189,7613672,484,648.6,454.5,2792,R,0,11,7612944,245,FEF,POST,Flat,Left,2.5
1,1,7613729,7613978,250,963.1,581.9,2788,R,0,11,7612944,785,FEF,POST,Flat,Left,2.5
1,1,7614000,7614221,222,885.7,531.7,2784,R,0,11,7612944,1056,FEF,POST,Flat,Left,2.5
1,1,7615569,7615971,403,794,496.1,2818,R,0,12,7615253,316,FEF,POST,Outward,Left,1.5
1,1,7615999,7616313,315,971.3,506.6,2795,R,0,12,7615253,746,FEF,POST,Outward,Left,1.5
1,1,7616333,7616859,527,920.7,508.9,2827,R,0,12,7615253,1080,FEF,POST,Outward,Left,1.5
1,1,7617858,7618357,500,1315.6,496.9,2678,R,0,13,7617561,297,FEF,POST,Inward,Right,2.5
1,1,7620199,7620784,586,1257,517.2,2619,R,0,14,7619869,330,FEF,POST,Outward,Right,2.5
1,1,7620834,7621099,266,877.1,531.9,2730,R,0,14,7619869,965,FEF,POST,Outward,Right,2.5
1,1,7622425,7622912,488,759.8,485.6,2820,R,0,15,7622177,248,FEF,POST,Flat,Left,1.5
1,1,7622953,7623536,584,956.5,523.1,2818,R,0,15,7622177,776,FEF,POST,Flat,Left,1.5
1,1,7624792,7625292,501,736.9,487.6,2791,R,0,16,7624485,307,FEF,POST,Outward,Left,1.5
1,1,7625334,7625763,430,978.1,519.5,2784,R,0,16,7624485,849,FEF,POST,Outward,Left,1.5
1,1,7627198,7627808,611,1132.4,525.6,2729,R,0,17,7626794,404,FEF,POST,Inward,Right,1.5
1,1,7627846,7628065,220,888.3,522.6,2776,R,0,17,7626794,1052,FEF,POST,Inward,Right,1.5
1,1,7629418,7629586,169,1315.2,502.7,2676,R,0,18,7629102,316,FEF,POST,Inward,Right,2.5
1,1,7629615,7629931,317,1479,517,2637,R,0,18,7629102,513,FEF,POST,Inward,Right,2.5
1,1,7629985,7630387,403,980.7,530,2759,R,0,18,7629102,883,FEF,POST,Inward,Right,2.5
1,1,7631738,7632289,552,1373.1,506.3,2623,R,0,19,7631413,325,FEF,POST,Inward,Right,2.5
1,1,7632344,7632602,259,873,522.9,2763,R,0,19,7631413,931,FEF,POST,Inward,Right,2.5
1,1,7632626,7633125,500,932.2,509.9,2755,R,0,19,7631413,1213,FEF,POST,Inward,Right,2.5
1,1,7633965,7634453,489,657.9,491.2,2733,R,0,20,7633718,247,FEF,POST,Flat,Left,2.5
1,1,7634500,7635496,997,939.6,496,2771,R,0,20,7633718,782,FEF,POST,Flat,Left,2.5
1,1,7636375,7636773,399,1232.8,501.8,2767,R,0,21,7636030,345,FEF,POST,Outward,Right,1.5
1,1,7636821,7637079,259,909.2,505.4,2860,R,0,21,7636030,791,FEF,POST,Outward,Right,1.5
1,1,7637102,7637363,262,960.5,496.6,2875,R,0,21,7636030,1072,FEF,POST,Outward,Right,1.5
1,1,7638640,7639123,484,1172.3,500.3,2873,R,0,22,7638335,305,FEF,POST,Outward,Right,1.5
1,1,7640961,7641383,423,748.9,473,2843,R,0,23,7640643,318,FEF,POST,Flat,Left,1.5
1,1,7643209,7643799,591,773.1,476.9,2875,R,0,24,7642952,257,FEF,POST,Inward,Left,2.5
1,1,7645554,7645981,428,752.9,478.6,2891,R,0,25,7645260,294,FEF,POST,Inward,Left,1.5
