PID,block,stime,etime,dur,axp,ayp,aps,eye,TRUE,trial_num,ML_on,latency,TMS_area,session,wing_type,stim_loc,shft_len
1,1,7590391,7590728,338,1167.3,570.5,1894,R,0,1,7589864,527,FEF,POST,Flat,Right,1.5
1,1,7592889,7593347,459,1093,571.3,2106,R,0,2,7592170,719,FEF,POST,Inward,Right,1.5
1,1,7597080,7597600,521,711.7,525.2,2297,R,0,4,7596787,293,FEF,POST,Inward,Left,1.5
1,1,7599487,7599970,484,1094,545.9,2271,R,0,5,7599097,390,FEF,POST,Outward,Right,1.5
1,1,7608644,7609243,600,554.7,446.5,2684,R,0,9,7608328,316,FEF,POST,Outward,Left,2.5
1,1,7611051,7611560,510,1321.4,443.3,2694,R,0,10,7610636,415,FEF,POST,Outward,Right,2.5
1,1,7617858,7618357,500,1315.6,496.9,2678,R,0,13,7617561,297,FEF,POST,Inward,Right,2.5
1,1,7622425,7622912,488,759.8,485.6,2820,R,0,15,7622177,248,FEF,POST,Flat,Left,1.5
1,1,7624792,7625292,501,736.9,487.6,2791,R,0,16,7624485,307,FEF,POST,Outward,Left,1.5
1,1,7627198,7627808,611,1132.4,525.6,2729,R,0,17,7626794,404,FEF,POST,Inward,Right,1.5
1,1,7629418,7629586,169,1315.2,502.7,2676,R,0,18,7629102,316,FEF,POST,Inward,Right,2.5
1,1,7629615,7629931,317,1479,517,2637,R,0,18,7629102,513,FEF,POST,Inward,Right,2.5
1,1,7631738,7632289,552,1373.1,506.3,2623,R,0,19,7631413,325,FEF,POST,Inward,Right,2.5
1,1,7636375,7636773,399,1232.8,501.8,2767,R,0,21,7636030,345,FEF,POST,Outward,Right,1.5
1,1,7638640,7639123,484,1172.3,500.3,2873,R,0,22,7638335,305,FEF,POST,Outward,Right,1.5
1,1,7640961,7641383,423,748.9,473,2843,R,0,23,7640643,318,FEF,POST,Flat,Left,1.5
1,1,7645554,7645981,428,752.9,478.6,2891,R,0,25,7645260,294,FEF,POST,Inward,Left,1.5
1,1,7652468,7652804,337,1195.7,491.5,2844,R,0,28,7652184,284,FEF,POST,Outward,Right,1.5
1,1,7659639,7659949,311,555.5,465.2,2967,R,0,31,7659109,530,FEF,POST,Flat,Left,2.5
1,1,7661681,7661859,179,1438.7,463.4,2874,R,0,32,7661417,264,FEF,POST,Flat,Right,2.5
1,1,7664025,7664452,428,1378.8,497.9,2925,R,0,33,7663725,300,FEF,POST,Outward,Right,2.5
1,1,7670973,7671431,459,1312,496.4,2952,R,0,36,7670650,323,FEF,POST,Outward,Right,2.5
1,1,7673440,7673876,437,555.2,476.7,3060,R,0,37,7672959,481,FEF,POST,Inward,Left,2.5
1,1,7675533,7676030,498,754.4,479.9,3032,R,0,38,7675270,263,FEF,POST,Outward,Left,1.5
1,1,7678130,7678410,281,1202.9,510.8,2960,R,0,39,7677575,555,FEF,POST,Flat,Right,1.5
1,1,7682552,7682787,236,1316.5,484.7,2863,R,0,41,7682191,361,FEF,POST,Inward,Right,2.5
1,1,7682831,7683020,190,1536,484.8,2785,R,0,41,7682191,640,FEF,POST,Inward,Right,2.5
1,1,7689656,7689900,245,735.2,487.9,2862,R,0,44,7689116,540,FEF,POST,Outward,Left,1.5
1,1,7691957,7692276,320,680.5,489.4,2692,R,0,45,7691428,529,FEF,POST,Inward,Left,1.5
1,1,7694178,7694555,378,1182.3,502.3,2681,R,0,46,7693733,445,FEF,POST,Outward,Right,1.5
1,1,7701003,7701390,388,1213.9,527.8,2610,R,0,49,7700658,345,FEF,POST,Inward,Right,1.5
1,1,7712586,7712994,409,1111.8,491.6,2782,R,0,54,7712199,387,FEF,POST,Inward,Right,1.5
1,1,7721756,7722282,527,1398.5,489.7,2899,R,0,58,7721432,324,FEF,POST,Outward,Right,2.5
1,1,7724095,7724560,466,1286.3,471.1,2913,R,0,59,7723740,355,FEF,POST,Inward,Right,2.5
1,1,7728688,7729056,369,1438.8,486,2891,R,0,61,7728357,331,FEF,POST,Inward,Right,2.5
1,1,7733285,7733740,456,1163,494.9,2948,R,0,63,7732973,312,FEF,POST,Inward,Right,1.5
1,1,7735849,7736068,220,1451.7,478.5,2852,R,0,64,7735281,568,FEF,POST,Flat,Right,2.5
1,1,7740210,7740591,382,1291.4,474.9,2960,R,0,66,7739898,312,FEF,POST,Inward,Right,2.5
1,1,7747276,7747543,268,519.6,459.8,3023,R,0,69,7746823,453,FEF,POST,Outward,Left,2.5
1,1,7749406,7749863,458,1264.7,483.8,2764,R,0,70,7749131,275,FEF,POST,Outward,Right,2.5
1,1,7751781,7752113,333,1200.3,493.2,2898,R,0,71,7751439,342,FEF,POST,Outward,Right,1.5
1,1,7754110,7754632,523,1098.1,493.6,2889,R,0,72,7753748,362,FEF,POST,Inward,Right,1.5
1,1,7756486,7756830,345,1171.4,493.4,2811,R,0,73,7756056,430,FEF,POST,Flat,Right,1.5
1,1,7770432,7770593,162,439.3,441.6,3044,R,0,79,7769905,527,FEF,POST,Flat,Left,2.5
1,1,7774947,7775202,256,559.6,466.6,3070,R,0,81,7774522,425,FEF,POST,Outward,Left,2.5
